,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
21540,NIAGARA,290273,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8333,1201,LINCOLN AVE,,,LOCKPORT,NY,14094,5800,POINT (-78.665093202 43.153911789)
22881,ERIE,143008,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #13366,2137,SENECA ST,,,BUFFALO,NY,14210,9300,POINT (-78.80835426 42.853849965)
22891,ERIE,142938,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 11797,3170,DELAWARE AVE,,,BUFFALO,NY,14217,0,POINT (-78.871164051 42.970318102)
22893,ERIE,142934,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #13305,2750,HARLEM RD,,,CHEEKTOWAGA,NY,14225,11500,POINT (-78.784388255 42.918619112)
22898,ERIE,142913,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 12975,1055,GENESEE ST,,,BUFFALO,NY,14211,11000,POINT (-78.839193107 42.902319127)
22913,ERIE,142818,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #9052,4190,UNION RD,,,CHEEKTOWAGA,NY,14225,10000,POINT (-78.754280004 42.92891523)
22977,ERIE,142489,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8207,1833,ELMWOOD AVE,,,BUFFALO,NY,14207,0,POINT (-78.878070237 42.946944536)
23011,ERIE,142203,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10547,4257,LAKE AVE,,,BLASDELL,NY,14219,0,POINT (-78.820111723 42.796617114)
23022,ERIE,142146,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8363,13475,BROADWAY,,,ALDEN,NY,14004,8000,POINT (-78.485002095 42.899986722)
23025,ERIE,142119,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10433,2920,WILLIAM ST,,,CHEEKTOWAGA,NY,14227,5000,POINT (-78.762759221 42.883993132)
23036,ERIE,142033,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10256,12968,MAIN RD,,,AKRON,NY,14001,1500,POINT (-78.504020264 42.998318813)
23054,ERIE,141827,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 5701,5150,BROADWAY,,,DEPEW,NY,14043,7500,POINT (-78.683611675 42.901468981)
23055,ERIE,141826,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6977,8790,ERIE RD,,,ANGOLA,NY,14006,8000,POINT (-79.044203246 42.646079768)
23078,ERIE,141615,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #9631,8229,N MAIN ST,,,EDEN,NY,14057,10000,POINT (-78.890203461 42.662983929)
23089,ERIE,141506,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9229,3531,SENECA ST,,,WEST SENECA,NY,14224,5000,POINT (-78.772042598 42.829480587)
23091,ERIE,141494,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8926,5783,CAMP RD,,,HAMBURG,NY,14075,6000,POINT (-78.835002593 42.729530792)
23092,ERIE,141493,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9228,6000,SOUTH PARK,,,HAMBURG,NY,14075,6000,POINT (-78.825350329 42.732951363)
23093,ERIE,141491,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8136,93,S ROSSLER AVE,,,BUFFALO,NY,14206,5100,POINT (-78.794805341 42.876690237)
23099,ERIE,141469,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8177,942,MCKINLEY PKWY,,,BUFFALO,NY,14220,8000,POINT (-78.82434857 42.857550107)
23100,ERIE,141468,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8960,230,HOLDEN ST,,,BUFFALO,NY,14214,1500,POINT (-78.834988237 42.939076035)
23101,ERIE,141460,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9029,1233,ABBOTT RD,,,LACKAWANNA,NY,14218,1000,POINT (-78.805759726 42.831024534)
23102,ERIE,141459,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9028,338,KENMORE AVE,,,BUFFALO,NY,14223,5600,POINT (-78.830329431 42.9582127)
